category,product_id,name,price_krw,url,image
트래블-전체,MMVGSTT03CO001,Ottomar 비세토스 가먼트 백,,https://kr.mcmworldwide.com/ko_KR/%ED%8A%B8%EB%9E%98%EB%B8%94/%EB%AA%A8%EB%91%90%EB%B3%B4%EA%B8%B0/ottomar-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%EA%B0%80%EB%A8%BC%ED%8A%B8-%EB%B0%B1/MMVGSTT03CO001.html?cgid=travel-all-travel,https://images.mcmworldwide.com/i/mcmworldwide/MMVGSTT03CO001_01/ottomar-cognac-m?$medium$&fmt=auto&qlt=default
트래블-전체,MXVFATT01CO001,Ottomar 비세토스 여권 지갑,,https://kr.mcmworldwide.com/ko_KR/%ED%8A%B8%EB%9E%98%EB%B8%94/%EB%AA%A8%EB%91%90%EB%B3%B4%EA%B8%B0/ottomar-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%EC%97%AC%EA%B6%8C-%EC%A7%80%EA%B0%91/MXVFATT01CO001.html?cgid=travel-all-travel,https://images.mcmworldwide.com/i/mcmworldwide/MXVFATT01CO001_01/ottomar-cognac-?$medium$&fmt=auto&qlt=default
트래블-전체,MMLFSTA01CO001,Aren 비세토스 슬링,,https://kr.mcmworldwide.com/ko_KR/%ED%8A%B8%EB%9E%98%EB%B8%94/%EB%AA%A8%EB%91%90%EB%B3%B4%EA%B8%B0/aren-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%EC%8A%AC%EB%A7%81/MMLFSTA01CO001.html?cgid=travel-all-travel,https://images.mcmworldwide.com/i/mcmworldwide/MMLFSTA01CO001_01/aren-cognac-m?$medium$&fmt=auto&qlt=default
트래블-전체,MXZFATT02CO001,Ottomar 비세토스 토일레트리 백,,https://kr.mcmworldwide.com/ko_KR/%ED%8A%B8%EB%9E%98%EB%B8%94/%EB%AA%A8%EB%91%90%EB%B3%B4%EA%B8%B0/ottomar-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%ED%86%A0%EC%9D%BC%EB%A0%88%ED%8A%B8%EB%A6%AC-%EB%B0%B1/MXZFATT02CO001.html?cgid=travel-all-travel,https://images.mcmworldwide.com/i/mcmworldwide/MXZFATT02CO001_01/ottomar-cognac-s?$medium$&fmt=auto&qlt=default
트래블-전체,MXZESTT06CO001,Ottomar 비세토스 토일레트리 백,,https://kr.mcmworldwide.com/ko_KR/%ED%8A%B8%EB%9E%98%EB%B8%94/%EB%AA%A8%EB%91%90%EB%B3%B4%EA%B8%B0/ottomar-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%ED%86%A0%EC%9D%BC%EB%A0%88%ED%8A%B8%EB%A6%AC-%EB%B0%B1/MXZESTT06CO001.html?cgid=travel-all-travel,https://images.mcmworldwide.com/i/mcmworldwide/MXZESTT06CO001_01/ottomar-cognac-m?$medium$&fmt=auto&qlt=default
트래블-전체,MXZFATT07CO001,Ottomar 비세토스 러기지 택,,https://kr.mcmworldwide.com/ko_KR/%ED%8A%B8%EB%9E%98%EB%B8%94/%EB%AA%A8%EB%91%90%EB%B3%B4%EA%B8%B0/ottomar-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%EB%9F%AC%EA%B8%B0%EC%A7%80-%ED%83%9D/MXZFATT07CO001.html?cgid=travel-all-travel,https://images.mcmworldwide.com/i/mcmworldwide/MXZFATT07CO001_01/ottomar-cognac-?$medium$&fmt=auto&qlt=default
트래블-전체,MMVGSTT04BK001,Ottomar 비세토스 캐빈 트롤리,,https://kr.mcmworldwide.com/ko_KR/%ED%8A%B8%EB%9E%98%EB%B8%94/%EB%AA%A8%EB%91%90%EB%B3%B4%EA%B8%B0/ottomar-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%EC%BA%90%EB%B9%88-%ED%8A%B8%EB%A1%A4%EB%A6%AC/MMVGSTT04BK001.html?cgid=travel-all-travel,https://images.mcmworldwide.com/i/mcmworldwide/MMVGSTT04BK001_01/ottomar-black-s?$medium$&fmt=auto&qlt=default
트래블-전체,MXZESTT06BK001,Ottomar 비세토스 토일레트리 백,,https://kr.mcmworldwide.com/ko_KR/%ED%8A%B8%EB%9E%98%EB%B8%94/%EB%AA%A8%EB%91%90%EB%B3%B4%EA%B8%B0/ottomar-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%ED%86%A0%EC%9D%BC%EB%A0%88%ED%8A%B8%EB%A6%AC-%EB%B0%B1/MXZESTT06BK001.html?cgid=travel-all-travel,https://images.mcmworldwide.com/i/mcmworldwide/MXZESTT06BK001_01/ottomar-black-m?$medium$&fmt=auto&qlt=default
트래블-전체,MMVEATT06BK001,MCM X HARPER COLLECTIVE 라지 체크인,,https://kr.mcmworldwide.com/ko_KR/%ED%8A%B8%EB%9E%98%EB%B8%94/%EB%AA%A8%EB%91%90%EB%B3%B4%EA%B8%B0/mcm-x-harper-collective-%EB%9D%BC%EC%A7%80-%EC%B2%B4%ED%81%AC%EC%9D%B8/MMVEATT06BK001.html?cgid=travel-all-travel,https://images.mcmworldwide.com/i/mcmworldwide/MMVEATT06BK001_01/mcm-x-harper-collective-black-79-1cm-31-1-?$medium$&fmt=auto&qlt=default
트래블-전체,MMVEATT07BK001,MCM X HARPER COLLECTIVE 캐빈 익스펜더블,,https://kr.mcmworldwide.com/ko_KR/%ED%8A%B8%EB%9E%98%EB%B8%94/%EB%AA%A8%EB%91%90%EB%B3%B4%EA%B8%B0/mcm-x-harper-collective-%EC%BA%90%EB%B9%88-%EC%9D%B5%EC%8A%A4%ED%8E%9C%EB%8D%94%EB%B8%94/MMVEATT07BK001.html?cgid=travel-all-travel,https://images.mcmworldwide.com/i/mcmworldwide/MMVEATT07BK001_01/mcm-x-harper-collective-black-56-6cm-22-?$medium$&fmt=auto&qlt=default
